formal_share,lambda,pension_pib,hicksian
0.9,0.3,2.642958421832896,0.7970414654433267
0.9,0.4,2.6785645581465434,0.7897155088317342
0.9,0.5,2.714524303932831,0.7816767131942903
0.9,0.6,2.750840909728091,0.7728590659585644
0.9,0.7,2.7874652358651155,0.7632546297796416
0.9,0.8,2.8244544544867067,0.7527452621526987
0.9,0.9,2.8618269909695817,0.7412608342835414
0.9,1.0,2.8996051440038757,0.7282216774575412
0.95,0.1,2.937753123352869,0.708377181648645
0.95,0.2,2.6480033576355497,1.081102022293412
0.95,0.3,2.6823511062620513,1.0752222271444456
0.95,0.4,2.7170743478237673,1.0687395535480704
0.95,0.5,2.752174342831096,1.0614916529503082
0.95,0.6,2.7876027351573263,1.0534967518422975
0.95,0.7,2.823403594537548,1.0448004905881048
0.95,0.8,2.859595445027951,1.0351784152028642
0.95,0.9,2.896197485059453,1.024613011417208
0.95,1.0,2.9332263545725907,1.0125318231010816
