time,lambda,r,rn,w,wn,p,KK,AA,BB,LL,HH,YY,CC,II,GG,INC,BQ,tauc,tauw,taur,taup,kappa,PP,c_coh_cohort_1_formal,c_coh_cohort_2_formal,c_coh_cohort_3_formal,c_coh_cohort_4_formal,c_coh_cohort_5_formal,c_coh_cohort_6_formal,c_coh_cohort_7_formal,c_coh_cohort_8_formal,c_coh_cohort_9_formal,c_coh_cohort_10_formal,c_coh_cohort_11_formal,c_coh_cohort_12_formal,c_coh_cohort_13_formal,c_coh_cohort_14_formal,c_coh_cohort_15_formal,c_coh_cohort_16_formal,c_coh_cohort_1_informal,c_coh_cohort_2_informal,c_coh_cohort_3_informal,c_coh_cohort_4_informal,c_coh_cohort_5_informal,c_coh_cohort_6_informal,c_coh_cohort_7_informal,c_coh_cohort_8_informal,c_coh_cohort_9_informal,c_coh_cohort_10_informal,c_coh_cohort_11_informal,c_coh_cohort_12_informal,c_coh_cohort_13_informal,c_coh_cohort_14_informal,c_coh_cohort_15_informal,c_coh_cohort_16_informal,y_coh_cohort_1_formal,y_coh_cohort_2_formal,y_coh_cohort_3_formal,y_coh_cohort_4_formal,y_coh_cohort_5_formal,y_coh_cohort_6_formal,y_coh_cohort_7_formal,y_coh_cohort_8_formal,y_coh_cohort_9_formal,y_coh_cohort_10_formal,y_coh_cohort_11_formal,y_coh_cohort_12_formal,y_coh_cohort_13_formal,y_coh_cohort_14_formal,y_coh_cohort_15_formal,y_coh_cohort_16_formal,y_coh_cohort_1_informal,y_coh_cohort_2_informal,y_coh_cohort_3_informal,y_coh_cohort_4_informal,y_coh_cohort_5_informal,y_coh_cohort_6_informal,y_coh_cohort_7_informal,y_coh_cohort_8_informal,y_coh_cohort_9_informal,y_coh_cohort_10_informal,y_coh_cohort_11_informal,y_coh_cohort_12_informal,y_coh_cohort_13_informal,y_coh_cohort_14_informal,y_coh_cohort_15_informal,y_coh_cohort_16_informal,l_coh_cohort_1_formal,l_coh_cohort_2_formal,l_coh_cohort_3_formal,l_coh_cohort_4_formal,l_coh_cohort_5_formal,l_coh_cohort_6_formal,l_coh_cohort_7_formal,l_coh_cohort_8_formal,l_coh_cohort_9_formal,l_coh_cohort_10_formal,l_coh_cohort_11_formal,l_coh_cohort_12_formal,l_coh_cohort_13_formal,l_coh_cohort_14_formal,l_coh_cohort_15_formal,l_coh_cohort_16_formal,l_coh_cohort_1_informal,l_coh_cohort_2_informal,l_coh_cohort_3_informal,l_coh_cohort_4_informal,l_coh_cohort_5_informal,l_coh_cohort_6_informal,l_coh_cohort_7_informal,l_coh_cohort_8_informal,l_coh_cohort_9_informal,l_coh_cohort_10_informal,l_coh_cohort_11_informal,l_coh_cohort_12_informal,l_coh_cohort_13_informal,l_coh_cohort_14_informal,l_coh_cohort_15_informal,l_coh_cohort_16_informal,a_coh_cohort_1_formal,a_coh_cohort_2_formal,a_coh_cohort_3_formal,a_coh_cohort_4_formal,a_coh_cohort_5_formal,a_coh_cohort_6_formal,a_coh_cohort_7_formal,a_coh_cohort_8_formal,a_coh_cohort_9_formal,a_coh_cohort_10_formal,a_coh_cohort_11_formal,a_coh_cohort_12_formal,a_coh_cohort_13_formal,a_coh_cohort_14_formal,a_coh_cohort_15_formal,a_coh_cohort_16_formal,a_coh_cohort_1_informal,a_coh_cohort_2_informal,a_coh_cohort_3_informal,a_coh_cohort_4_informal,a_coh_cohort_5_informal,a_coh_cohort_6_informal,a_coh_cohort_7_informal,a_coh_cohort_8_informal,a_coh_cohort_9_informal,a_coh_cohort_10_informal,a_coh_cohort_11_informal,a_coh_cohort_12_informal,a_coh_cohort_13_informal,a_coh_cohort_14_informal,a_coh_cohort_15_informal,a_coh_cohort_16_informal,v_coh_cohort_1_formal,v_coh_cohort_2_formal,v_coh_cohort_3_formal,v_coh_cohort_4_formal,v_coh_cohort_5_formal,v_coh_cohort_6_formal,v_coh_cohort_7_formal,v_coh_cohort_8_formal,v_coh_cohort_9_formal,v_coh_cohort_10_formal,v_coh_cohort_11_formal,v_coh_cohort_12_formal,v_coh_cohort_13_formal,v_coh_cohort_14_formal,v_coh_cohort_15_formal,v_coh_cohort_16_formal,v_coh_cohort_1_informal,v_coh_cohort_2_informal,v_coh_cohort_3_informal,v_coh_cohort_4_informal,v_coh_cohort_5_informal,v_coh_cohort_6_informal,v_coh_cohort_7_informal,v_coh_cohort_8_informal,v_coh_cohort_9_informal,v_coh_cohort_10_informal,v_coh_cohort_11_informal,v_coh_cohort_12_informal,v_coh_cohort_13_informal,v_coh_cohort_14_informal,v_coh_cohort_15_informal,v_coh_cohort_16_informal,VV_coh_cohort_1_formal,VV_coh_cohort_2_formal,VV_coh_cohort_3_formal,VV_coh_cohort_4_formal,VV_coh_cohort_5_formal,VV_coh_cohort_6_formal,VV_coh_cohort_7_formal,VV_coh_cohort_8_formal,VV_coh_cohort_9_formal,VV_coh_cohort_10_formal,VV_coh_cohort_11_formal,VV_coh_cohort_12_formal,VV_coh_cohort_13_formal,VV_coh_cohort_14_formal,VV_coh_cohort_15_formal,VV_coh_cohort_16_formal,VV_coh_cohort_1_informal,VV_coh_cohort_2_informal,VV_coh_cohort_3_informal,VV_coh_cohort_4_informal,VV_coh_cohort_5_informal,VV_coh_cohort_6_informal,VV_coh_cohort_7_informal,VV_coh_cohort_8_informal,VV_coh_cohort_9_informal,VV_coh_cohort_10_informal,VV_coh_cohort_11_informal,VV_coh_cohort_12_informal,VV_coh_cohort_13_informal,VV_coh_cohort_14_informal,VV_coh_cohort_15_informal,VV_coh_cohort_16_informal,tauc_rev,tauw_rev,taur_rev,total_tax_rev,pension_coho_1,pension_coho_2,pension_coho_3,pension_coho_4,pension_coho_5,pension_coho_6,pension_coho_7,pension_coho_8,pension_coho_9,pension_coho_10,pension_coho_11,pension_coho_12,pension_coho_13,pension_coho_14,pension_coho_15,pension_coho_16
0,1.0,0.6635434267527649,0.5667968872902354,0.8638086016724753,0.6858400844947076,1.05737,13.258319675193393,15.139492781775482,1.8816220251732414,7.932567273219525,0.29605589371721447,17.988738290375156,12.419697593861827,3.590278112738792,1.9787612119412672,1.2750929259561083,1.7831507248996614,0.05737,0.12733,0.14580483018359222,0.07869763203303053,0.643,0.44027516203049266,0.9589245017859308,1.2440051577138163,1.4533755036985263,1.6127906344366798,1.8584947852984683,1.9455491046406668,2.131758786415448,2.3777273740857545,2.3645698070185404,2.661073131163794,2.9487757970155575,3.1936380079699362,3.2239827299492716,2.939859944868324,2.3725028277382347,1.7259286411611916,0.8617977821196579,0.9703004793956054,1.0684140319898563,1.14708907958832,1.2519982888560766,1.3596415843642193,1.474647794206922,1.6220911622182645,1.9697514327251775,2.031238319144133,2.2186538157833104,2.3716103537727733,2.3578398856583984,2.1021405058608655,1.6319880757686396,1.1016187441581982,1.2702524704333396,1.8948380518714991,2.0007309080766142,1.7842828358035145,1.8969996852723259,1.2699016018752352,1.0329994342419122,0.9296882364700613,0.10573629745936369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1542368148686626,1.160027461514124,1.0749458144624344,0.8656553529654779,0.7112733985608213,0.5010209126057746,0.2912283209805646,0.12551343068957801,0.4202741406108112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41294091421579093,0.442384396829599,0.41218711183540885,0.353126328674018,0.32805416960841793,0.23311296079329866,0.1820602766588056,0.15151906195547168,0.012594302384793149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43859078217201664,0.40415487239426595,0.3546846544241486,0.28364018647558387,0.22423985477041733,0.15321513995770403,0.08119226451197292,0.02410546796272147,0.08172866825157572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269082971348025,0.707658880601134,1.30887002335906,1.9303771980515994,2.7152410764124677,3.419907588914129,3.794924226829593,4.0510563297572775,3.914048431546868,4.021634519363463,3.8775026065234797,3.3877177989761553,2.5862817711246158,1.6304118628420707,0.7307950316039467,0.0,0.31235280453665665,0.7061009962254979,1.1728873322876288,1.6758239579257708,2.256515009747599,2.8969836218337734,3.251335077090181,3.5215298814991867,3.764434409496721,3.7709254374428363,3.5853813448765903,3.129542190148082,2.422330010305974,1.5764245277112778,0.7434394470396871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9734120621117293,-2.0283837491232934,-1.359964234900863,-0.9169561485595634,-0.6263802163836556,-0.4255399607882716,-0.29831625499336223,-0.2093664755886553,-0.14629775879212206,-0.10555965230187625,-0.07939565577369322,-0.06070847033903087,-0.05304812405802977,-0.05670328811545182,-0.07614670852813074,-0.10989854678618922,-3.9914419137774457,-2.8471746077144,-2.002346289565529,-1.390101247940871,-0.9646858135673612,-0.6617458963024035,-0.46138751385977717,-0.3253452943152113,-0.23329988473513488,-0.16701325969333256,-0.12800817972895392,-0.09949165819683456,-0.08867101446373345,-0.09759532775384552,-0.13747707675813572,-0.21513766609013635,0.712518050959853,0.8724931527304843,1.4647131747229487,3.049724378413286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7123510859200359,0.7058676610822652,0.6998408160383289,0.6942539434156724,0.6890882491447543,0.6843233462200992,0.6799377865403735
1,1.0,0.6609257024927422,0.5642129321308427,0.8682018808211648,0.6893296859856992,1.05737,13.257870756602468,15.139492781775482,1.8816220251732414,7.867373717302334,0.29407644526314525,17.93190458053193,12.391370885494876,3.5617724908828166,1.9787612119412672,1.2667897495567366,1.7802099598566898,0.05737,0.12733,0.14632926212044933,0.07869603931889116,0.643,0.4373993167133723,0.9609200237543503,1.2469474208116373,1.4557528166933624,1.6126313232944403,1.8555148346816577,1.9334384788786267,2.1062621781472854,2.330032779689633,2.3750703112722658,2.6489605699545677,2.9363412118706527,3.1811983403101776,3.2122917417710743,2.9297527261796144,2.3645362269725823,1.7199424246700705,0.8647651043285344,0.973423767979362,1.071594687579939,1.1502041791626632,1.2551864788439082,1.3628562793591006,1.4775895034376962,1.6230652318812817,1.9708343671940414,2.024143297170911,2.2115212922350964,2.3646966576796884,2.3516627629176807,2.097245534671896,1.6286938682909482,1.0998019589317647,1.2745988368334302,1.901007420555799,2.0071754422827954,1.7864533428440916,1.8930664707991331,1.241431890184142,0.9664374401740332,0.7994869861774107,0.07727039348806136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.156651646388981,1.1631168010297077,1.0787862248732087,0.8700708974462703,0.7162713197651157,0.5066025794003031,0.29716602351385785,0.12960124922904942,0.4299156724451479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4143538557817758,0.4437721699030094,0.41329485928848125,0.3529066859857359,0.3262326861301571,0.22639822014853841,0.16786984988933573,0.12600130479838315,0.00804484133293348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4395083779648961,0.40527117129501505,0.35603574303288926,0.2851479610042426,0.2258804683699946,0.1550494975340137,0.0831551341088645,0.025369327992351073,0.08411679024586308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269082971348025,0.707658880601134,1.30887002335906,1.9303771980515994,2.7152410764124677,3.419907588914129,3.794924226829593,4.0510563297572775,3.914048431546868,4.021634519363463,3.8775026065234797,3.3877177989761553,2.5862817711246158,1.6304118628420707,0.7307950316039467,0.0,0.31235280453665665,0.7061009962254979,1.1728873322876288,1.6758239579257708,2.256515009747599,2.8969836218337734,3.251335077090181,3.5215298814991867,3.764434409496721,3.7709254374428363,3.5853813448765903,3.129542190148082,2.422330010305974,1.5764245277112778,0.7434394470396871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9820536398079476,-2.029179248966023,-1.3567991342531716,-0.9110314719015826,-0.61866148876941,-0.41683619474590616,-0.28991688689375134,-0.20236708361318367,-0.14171175087593121,-0.1066858505326352,-0.08016404470383891,-0.06123588132615385,-0.05346040509836417,-0.05709757509657974,-0.0766174993843887,-0.11048355737015299,-3.9873105121727086,-2.8466349530902635,-2.0031141239238672,-1.3909433115150016,-0.9651408937629944,-0.662061109145017,-0.46183111899175633,-0.326165549835548,-0.2346503493072141,-0.16852494939198615,-0.12905760470531355,-0.10021597596357551,-0.08923599347607894,-0.09812969301700852,-0.1380989531855033,-0.21586684803610362,0.710892947700841,0.8697235742848803,1.4641822888040759,3.044798810789797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7076980604685419,0.7012569848899772,0.6952695067592594,0.689719127181986,0.6845871748501082,0.6798533959245907,0.6754964824015309
2,1.0,0.6610431090864629,0.5639783162013041,0.8680040670313646,0.6862355152469873,1.05737,13.231934395609738,15.11355641634659,1.8816220251732414,7.854873406650956,0.2936791403660311,17.89933377197478,12.373743414605611,3.5468291492248483,1.9787612119412672,1.2639781111119264,1.7765395577747736,0.05737,0.12733,0.14683579869434746,0.08207979275016894,0.643,0.45519395782900796,0.9567700775625284,1.2428519041610724,1.4513721141401257,1.607881956639796,1.8498474225085084,1.9271425623818585,2.099106445346133,2.3219392622973274,2.3659732993190907,2.6912904647838247,2.9331596091538885,3.177797599454985,3.2089822132671966,2.926826246035885,2.3621459014006017,1.717959452061999,0.8640591821844522,0.9733795709095193,1.0715419156678965,1.1500507526184613,1.2547872356417369,1.3622682600795522,1.4765859422150147,1.6215265999925177,1.9688316746067565,2.0233954508362113,2.209668584652364,2.3626723040769044,2.3496632551801406,2.0954807745447863,1.6273066379612922,1.0987946665438926,1.2742912995452311,1.8981810141339341,2.003122696174332,1.7817697165511028,1.888295269473929,1.2371422901218345,0.9629179435459642,0.7974599539786158,0.07795509585702706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157519867747072,1.162814077011459,1.0784589966693297,0.8698451848454919,0.7162520470702769,0.5067019561742475,0.2974472472594899,0.12968841475367787,0.43083085409989974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142538798069989,0.44307328696496806,0.4124053317860292,0.35191697016178325,0.325407965934311,0.22559946302070386,0.16722850176606593,0.12562851719234838,0.008042374344298065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43983828763303195,0.4051549042392077,0.35593533037854097,0.2851018283747141,0.2258976025047876,0.155119750005369,0.0832989141010318,0.025447864472209248,0.08441710273940731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23156247868980326,0.7141137867692867,1.3152133263686596,1.9341610801945228,2.7166017380012044,3.4100467229441733,3.7713243952952284,4.006403529875256,3.874500983281689,4.019666238639477,3.8756359198500077,3.386261662324012,2.5853312626071374,1.6298922676564849,0.7305226391420666,0.0,0.3151554721284803,0.7087193447503236,1.1747007800718972,1.675971061836043,2.255013850417091,2.892704499806383,3.24472674348772,3.512459334650656,3.760081564823529,3.7687198611850796,3.5832036908952194,3.1276232781650255,2.4208164139058743,1.575378804211128,0.7428699647099017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0077598067738207,-2.0363398665014274,-1.3606406242033497,-0.9137907947243218,-0.6211686819307697,-0.4190481421109501,-0.2912775168189478,-0.20303707346338734,-0.1413788506789249,-0.10120748088541696,-0.08033711762898957,-0.061366601804169765,-0.05357376907567424,-0.057214466979610835,-0.0767743217637287,-0.11071813127488632,-3.9986997194153795,-2.844744755482703,-2.002549322298205,-1.3913964295065029,-0.9662208237161738,-0.663101321881776,-0.4627295814753441,-0.3268635990682924,-0.2351240050795356,-0.16864375278276442,-0.12929312373864452,-0.10040346425019088,-0.08940001538979386,-0.09830644667351168,-0.1383538838264361,-0.21627152331409488,0.7098816596959239,0.8681438424804581,1.4669942234460602,3.045019725622442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7893411461932512,0.6997005457964403,0.6937263568667372,0.6881882963507261,0.6830677343813072,0.67834446207282,0.6739972187144521
3,1.0,0.6612177041268991,0.5636935339494176,0.8677100332586141,0.6825090313157649,1.05737,13.198761085638877,15.080383102669208,1.8816220251732414,7.8394698142056,0.2931872835859311,17.85818130003654,12.349634159797118,3.529785928429547,1.9787612119412672,1.2604124007734727,1.7710459298342358,0.05737,0.12733,0.1474917709928449,0.08610651086539528,0.643,0.47617801823043837,0.951994211852839,1.236697703565604,1.4455312358314685,1.6018997020627403,1.8432133015516283,1.9202689139798401,2.0913029438716957,2.313472099729848,2.360023974810293,2.6855614620556976,2.985556698526973,3.1740129675252913,3.2051820754785303,2.923412010760065,2.359348401349272,1.7156819857788785,0.8631348101397377,0.9725365202764591,1.0713985438175242,1.149973046173862,1.2545905140688165,1.3617247605770177,1.4757558572861444,1.6195258891695117,1.9658050226674588,2.0167498011708314,2.2063926766883677,2.360585218593612,2.3475535665336538,2.0936242752784224,1.625889793107159,1.0978317078322244,1.2734965730521324,1.8970549667939953,1.9992660649900615,1.7765794229855876,1.8821589792417286,1.2311108446303913,0.9571259547036968,0.7916306686939157,0.07742770750025757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1585979351173907,1.1636898388113432,1.0780855152641944,0.8693845853050328,0.7157958331253775,0.5065414895749043,0.2974062301025887,0.12982099280182743,0.4326374067566966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139955255882507,0.44280006318193005,0.41152320279230065,0.3507453028108973,0.324235280081696,0.22441341471217718,0.16612986304935917,0.12455480732226301,0.007917620946804503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4402479352937991,0.4054748350803454,0.35578311531867,0.2849647651889665,0.22576031092264714,0.155095529222628,0.08334324836028859,0.025563433115691734,0.08500278295417946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23105412857817698,0.717094621872356,1.3199831258792194,1.9392166024684512,2.718114601143576,3.4105538801799073,3.7574901165324657,3.974024009250746,3.8151371011468314,3.9944233771712425,3.8734160551246215,3.384473126698105,2.584208141127822,1.6293524620177113,0.7303316020197572,0.0,0.31546397338583404,0.7118642806767603,1.1777251278658907,1.6779807259714676,2.2545903912815732,2.8900070507110214,3.2379057401033444,3.5011283967930655,3.7440794302036386,3.7604274493012215,3.580839853521252,3.125539264046863,2.4192294392650124,1.5743446563945807,0.7423541043740783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0358166583492445,-2.0548050022723996,-1.3661963396051993,-0.9168720268330682,-0.623274281914706,-0.42070542860154925,-0.29267898050741925,-0.203631644598935,-0.1412720636572207,-0.10013135990336253,-0.07579058124442746,-0.06150576191485388,-0.0536956340790014,-0.05734593017031544,-0.07694899272412052,-0.11097751545211508,-4.0126855403613435,-2.8524792603736797,-2.000827804622956,-1.3906372194236223,-0.9663521635342529,-0.6639597939642959,-0.4636938442344412,-0.32795569761054844,-0.23626973979570118,-0.16985332199123998,-0.1297207941836202,-0.10059068728050269,-0.08957121443652909,-0.09849174732362187,-0.13860813157163612,-0.21667275842375852,0.7084985117475606,0.8661478874605695,1.4707018482878824,3.0453482474960127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233669324597452,0.7801274918867533,0.6917693394010189,0.6862469018767681,0.6811407851264328,0.6764308372740673,0.6720958575857978
4,1.0,0.6615541328526591,0.5634592017507499,0.867143910475207,0.6784120077595166,1.05737,13.158222759038539,15.039844773221946,1.8816220251732414,7.823635241392006,0.2926702117362351,17.810482672153828,12.320277283471567,3.5114441736909416,1.9787612119412672,1.256405221494302,1.7635459340023902,0.05737,0.12733,0.14827952279613468,0.09031772886545449,0.643,0.49787856051190277,0.9469810091902514,1.2300303127609877,1.43781850459193,1.594759300859684,1.8355861687691202,1.9128089612381924,2.0832641221970145,2.304255428415453,2.354633516475563,2.6831219736134067,2.9839728615260426,3.236275536263394,3.2010382824602415,2.9195875182031066,2.356175011935349,1.7130912309784343,0.8618915351361813,0.9713307879434577,1.0702205127723983,1.1495585963748134,1.254297987351478,1.3613125770390184,1.4748930752151632,1.6184010781851819,1.9625613532344552,2.0096368127852484,2.1957729711350527,2.3550839431216275,2.3453908452238994,2.091677632948504,1.6244108779904867,1.096856044797548,1.272160232230967,1.8956143917904669,1.9974305780072934,1.7718830895849327,1.8759412710013763,1.2245443835269545,0.9501300695256685,0.7847246800352915,0.07674151150659722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1597594706355259,1.164665025401935,1.078902296191062,0.8688931481088856,0.7150224848009987,0.5057258305912065,0.29691818186911867,0.12968657537210057,0.4336051143395698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41356110029623955,0.4424558862584735,0.41112001252441527,0.3496619703338842,0.32298881205072055,0.22309888823886254,0.16476316028785226,0.12325914101877565,0.007790173641348596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4406892994617558,0.4058305065673561,0.3560799590475487,0.28477480508391795,0.22550264197799777,0.15483339051225878,0.08321703377183604,0.025605311804378274,0.08538298884184863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2297077633332522,0.7138373857076643,1.3194656456208547,1.9413258987291275,2.720105159918848,3.4095232307535066,3.757882539274366,3.9536670992994947,3.7700348915489825,3.941752808379278,3.857999709534095,3.3819437035865665,2.582514993483915,1.6285276842883463,0.7300556252485975,0.0,0.3155792340073532,0.7118927090258134,1.1804684463323603,1.6806810449716907,2.2558780840765507,2.887992748158327,3.2340419487782084,3.4908129680489988,3.7273780459554273,3.7388105531570974,3.5699097321576545,3.1230279569398074,2.417326192708994,1.5731623182774908,0.7418055263539117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.063467498363569,-2.074753522663533,-1.378936973900066,-0.9209192412298527,-0.625596783040733,-0.4221894948345008,-0.2937181920592359,-0.2044128701854935,-0.14123170470374405,-0.09926191109044595,-0.07452419086347915,-0.05772052915600888,-0.05382186567483092,-0.057483426466673926,-0.07714065375451237,-0.11126157969395736,-4.029404631241609,-2.862222260521582,-2.006433782068931,-1.3894466256810412,-0.9656744554332601,-0.6640471125465461,-0.4644444982982106,-0.32890176172859525,-0.237563640591359,-0.17146176806792518,-0.13115418219685857,-0.1011197945280343,-0.08973888633224818,-0.09868177264957077,-0.1388725323215152,-0.21707193128542945,0.7068143077527638,0.8638344343106689,1.475332537132871,3.0459812791963037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8513815011108652,0.8150945314273194,0.7711730431158381,0.6840651442505429,0.6789752611751886,0.6742802874736965,0.6699590898148527
5,1.0,0.6621781236963122,0.5634054026211509,0.8660954730095801,0.6745120443022705,1.05737,13.110955278788582,14.99257729108317,1.8816220251732414,7.810779524340816,0.2922387672909392,17.759717938943812,12.287353463498752,3.493603258000709,1.9787612119412672,1.2524120839942066,1.7547671492133516,0.05737,0.12733,0.14916337094981527,0.09387359091650167,0.643,0.5158356634423095,0.9423794634249284,1.2236690226588651,1.4302287753289884,1.586425315484436,1.8275590798144392,1.9051763401948447,2.075327079647147,2.2956644176835255,2.3478976031679677,2.6801467374241876,2.985308408548601,3.2394980023227786,3.2698931789563357,2.91560355623327,2.352812776038454,1.710339674248592,0.8602495599691095,0.969633657926945,1.0684868739166555,1.1478197751046915,1.2533872074453916,1.3606027557732843,1.4741115695273825,1.617325206318741,1.9604628703616,2.003915136661834,2.1856598268702134,2.3408511624032045,2.3381859107264455,2.0897400602282783,1.6229046038299304,1.095869103136608,1.2705463560645713,1.8942545611684072,1.9961363330648398,1.770289696343321,1.871313383905643,1.2192542850544497,0.9441019708676415,0.7780807204772274,0.07632870202287587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.160785197326838,1.165558519439459,1.07965282832918,0.8694510005987761,0.714205367159141,0.5044274183857103,0.29544599555144035,0.1291891742259192,0.43229920656948073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41303645223209906,0.44213649890791695,0.4108472616545723,0.3493172467170411,0.3220334646390773,0.2220226911819802,0.16356146338591687,0.12199692081510653,0.007706522880884933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44107905853549356,0.40615566923509583,0.3563526693325039,0.28497454356393864,0.2252115443102596,0.15438820313874788,0.08272674562650181,0.025499822814587327,0.08517701654414407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22737679397384536,0.7085321862661718,1.3115392024567272,1.9359232245828228,2.7176426160804033,3.408845155178757,3.755279784877042,3.954992086716674,3.7426731434021634,3.9016593082479396,3.8121738063554713,3.3704778982555488,2.579973652688379,1.6271490709641225,0.7295817513748972,0.0,0.31530415859694677,0.7112051662852392,1.179243728724624,1.6819801356625421,2.257121497221143,2.8874812972855533,3.2306838250715795,3.4856257203320187,3.7132416297924693,3.717776860835862,3.5448241842891477,3.110962565006372,2.4149426219905425,1.571685145074008,0.741163559778452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0872926748264478,-2.094119189173551,-1.3924526649883056,-0.9295754620816021,-0.6284069631252158,-0.4238639381407404,-0.2947298943937938,-0.20496540820913403,-0.1414864772681359,-0.0985387078779726,-0.07343795519332516,-0.05642027713051849,-0.050209912959707496,-0.057619105955910924,-0.07733155086756802,-0.11156014832796016,-4.0484910408900765,-2.8741622968946823,-2.0137017126196826,-1.3936271064859065,-0.9649265043314262,-0.6635823107490166,-0.46454774404382604,-0.32963053132225245,-0.2385405572427537,-0.1730468712555194,-0.13283693495975407,-0.10253882438033071,-0.09036260866541754,-0.09886131499750239,-0.13913564893773248,-0.21748006574773476,0.7049254682009234,0.8613722705714663,1.4808576553388386,3.047155394111228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8658043618430241,0.8441062213845462,0.8072642004457796,0.7627395681250064,0.6768173255530353,0.6721372735306912,0.6678298096069204
