edad,total,hombres,mujeres
20,149917,73808,76109
25,145928,71562,74366
30,141358,69033,72325
35,136197,66247,69950
40,130401,63146,67255
45,124002,59639,64363
50,116650,55563,61087
55,107969,50818,57151
60,97130,45063,52067
65,83714,38270,45444
70,67165,30108,37057
75,48807,21393,27414
80,30858,13145,17713
85,12514,5117,7397
90,3129,1219,1910
95,451,167,284
100,37,13,24
